Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE)	2020	40	202	87th
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE)	2021	40	202	87th
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE)	2022	49	202	87th
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE)	2023	48	202	87th
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE) Median	2019	8	36	
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE) Median	2020	10	36	
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE) Median	2021	11	36	
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE) Median	2022	11	36	
Universidade Federal Fluminense	ODS 6	Scholarly Output (THE) Median	2023	12	36	
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.91	0.89	33rd
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE)	2020	0.86	0.89	33rd
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.91	0.89	33rd
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.93	0.89	33rd
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.82	0.89	33rd
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.11	1.26	
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.13	1.26	
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.16	1.26	
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.2	1.26	
Universidade Federal Fluminense	ODS 7	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.3	1.26	
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE)	2019	15	94	83rd
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE)	2020	18	94	83rd
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE)	2021	24	94	83rd
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE)	2022	18	94	83rd
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE)	2023	19	94	83rd
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE) Median	2019	3	14	
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE) Median	2020	3	14	
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE) Median	2021	4	14	
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE) Median	2022	4	14	
Universidade Federal Fluminense	ODS 7	Output in Top 10% Journals (THE) Median	2023	4	14	
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE)	2019	53	354	84th
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE)	2020	68	354	84th
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE)	2021	79	354	84th
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE)	2022	86	354	84th
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE)	2023	68	354	84th
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE) Median	2019	17	76	
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE) Median	2020	18	76	
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE) Median	2021	20	76	
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE) Median	2022	22	76	
Universidade Federal Fluminense	ODS 7	Scholarly Output (THE) Median	2023	23	76	
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE)	2019	8	68	90th
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE)	2020	17	68	90th
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE)	2021	19	68	90th
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE)	2022	12	68	90th
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE)	2023	12	68	90th
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE) Median	2019	1	6	
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE) Median	2020	2	6	
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE) Median	2021	2	6	
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE) Median	2022	2	6	
Universidade Federal Fluminense	ODS 8	Output in Top 10% Journals (THE) Median	2023	2	6	
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE)	2019	37	276	91st
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE)	2020	56	276	91st
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE)	2021	70	276	91st
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE)	2022	57	276	91st
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE)	2023	56	276	91st
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE) Median	2019	8	39	
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE) Median	2020	9	39	
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE) Median	2021	10	39	
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE) Median	2022	12	39	
Universidade Federal Fluminense	ODS 8	Scholarly Output (THE) Median	2023	13	39	
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE)	2019	205	957	81st
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE)	2020	190	957	81st
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE)	2021	219	957	81st
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE)	2022	224	957	81st
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE)	2023	221	957	81st
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE) Median	2019	37	0	
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE) Median	2020	37	0	
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE) Median	2021	38	0	
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE) Median	2022	39	0	
Universidade Federal Fluminense	ODS 9	Patent-Citations (THE) Median	2023	40	0	
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE)	2019	69	455	90th
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE)	2020	96	455	90th
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE)	2021	119	455	90th
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE)	2022	97	455	90th
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE)	2023	74	455	90th
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE) Median	2019	11	67	
